city,state,matched_city,level,population,score
kanchipuram,tamil nadu,,district,3998252.0,86.95652173913044
kannur,kerala,,district,2523003.0,100.0
kanpur,uttar pradesh,,district,1796184.0,90.0
karnal,haryana,,district,1505324.0,100.0
katihar,bihar,,district,3071029.0,100.0
katni,madhya pradesh,,district,1292042.0,100.0
keonjhar,odisha,,,,
khanna,punjab,,sub-district,222297.0,100.0
khurja,uttar pradesh,,sub-district,519063.0,100.0
kishanganj,bihar,,district,1690400.0,100.0
kochi,kerala,,sub-district,508212.0,100.0
kohima,nagaland,,district,267988.0,100.0
kolkata,west bengal,,district,4496694.0,100.0
kollam,kerala,,district,2635375.0,100.0
koppal,karnataka,,district,1389920.0,100.0
korba,chhattisgarh,,district,1206640.0,100.0
kota,rajasthan,,district,1951014.0,100.0
kunjemura,chhattisgarh,,,,
kurukshetra,haryana,,district,964655.0,100.0
lucknow,uttar pradesh,,district,4589838.0,100.0
ludhiana,punjab,,district,3498739.0,100.0
madikeri,karnataka,,sub-district,146583.0,100.0
maihar,madhya pradesh,,sub-district,358725.0,100.0
mandi gobindgarh,punjab,,,,
mandideep,madhya pradesh,,,,
mandikhera,haryana,,,,
manesar,haryana,,sub-district,116606.0,100.0
mangalore,karnataka,,district,9621551.0,88.88888888888889
manguraha,bihar,,,,
meerut,uttar pradesh,,district,3443689.0,100.0
moradabad,uttar pradesh,,district,4772006.0,100.0
motihari,bihar,,sub-district,363976.0,100.0
mumbai,maharashtra,,district,3085411.0,100.0
munger,bihar,,district,1367765.0,100.0
muzaffarnagar,uttar pradesh,,district,4143512.0,100.0
muzaffarpur,bihar,,district,4801062.0,100.0
mysuru,karnataka,,,,
nagpur,maharashtra,,district,4653570.0,100.0
naharlagun,arunachal pradesh,,sub-district,49106.0,100.0
nalbari,assam,,district,771639.0,100.0
nandesari,gujarat,,,,
narnaul,haryana,,sub-district,517707.0,100.0
nashik,maharashtra,,district,6107187.0,100.0
navi mumbai,maharashtra,,district,3085411.0,90.0
nayagarh,odisha,,district,962789.0,100.0
noida,uttar pradesh,,,,
ooty,tamil nadu,,,,
pali,rajasthan,,district,2037573.0,100.0
palwal,haryana,,district,1042708.0,100.0
panchkula,haryana,,district,561293.0,100.0
panipat,haryana,,district,1205437.0,100.0
patiala,punjab,,district,1895686.0,100.0
patna,bihar,,district,5838465.0,100.0
pithampur,madhya pradesh,,,,
prayagraj,uttar pradesh,,district,4418797.0,90.0
puducherry,puducherry,,district,950289.0,100.0
pune,maharashtra,,district,9429408.0,100.0
purnia,bihar,,district,3264619.0,100.0
raichur,karnataka,,district,1928812.0,100.0
raipur,chhattisgarh,,district,4063872.0,100.0
rajamahendravaram,andhra pradesh,,sub-district,94039.0,90.0
rajgir,bihar,,sub-district,130183.0,100.0
ramanagara,karnataka,,district,1082636.0,100.0
ramanathapuram,tamil nadu,,district,1353445.0,100.0
ratlam,madhya pradesh,,district,1455069.0,100.0
rohtak,haryana,,district,1061204.0,100.0
rourkela,odisha,,,,
rupnagar,punjab,,district,684627.0,100.0
sagar,madhya pradesh,,district,2378458.0,100.0
saharsa,bihar,,district,1900661.0,100.0
salem,tamil nadu,,district,3482056.0,100.0
samastipur,bihar,,district,4261566.0,100.0
sasaram,bihar,,sub-district,358283.0,100.0
satna,madhya pradesh,,district,2228935.0,100.0
shillong,meghalaya,,,,
shivamogga,karnataka,,,,
silchar,assam,,sub-district,704465.0,100.0
siliguri,west bengal,,,,
singrauli,madhya pradesh,,district,1178273.0,100.0
sirohi,rajasthan,,district,1036346.0,100.0
sirsa,haryana,,district,1295189.0,100.0
sivasagar,assam,,district,1151050.0,100.0
siwan,bihar,,district,3330464.0,100.0
solapur,maharashtra,,district,4317756.0,100.0
sonipat,haryana,,district,1450001.0,100.0
srinagar,jammu & kashmir,,district,1236829.0,100.0
suakati,odisha,,,,
surat,gujarat,,district,6081322.0,100.0
talcher,odisha,,sub-district,97968.0,90.0
tensa,odisha,,,,
thiruvananthapuram,kerala,,district,3301427.0,100.0
thrissur,kerala,,district,3121200.0,100.0
tirupati,andhra pradesh,,sub-district,117445.0,90.0
tumakuru,karnataka,,district,2678980.0,85.71428571428572
tumidih,chhattisgarh,,,,
udaipur,rajasthan,,district,3068420.0,100.0
ujjain,madhya pradesh,,district,1986864.0,100.0
vapi,gujarat,,,,
varanasi,uttar pradesh,,district,3676841.0,100.0
vatva,gujarat,,,,
vellore,tamil nadu,,district,3936331.0,100.0
vijayapura,karnataka,,,,
vijayawada,andhra pradesh,,sub-district,1021806.0,90.0
visakhapatnam,andhra pradesh,,district,4290589.0,100.0
vrindavan,uttar pradesh,,,,
yadgir,karnataka,,district,1174271.0,100.0
yamuna nagar,haryana,,district,1214205.0,95.65217391304348
